SN,Date (AD) ,Index Value ,Absolute Change ,Percentage Change
537,2023/03/28 ,1918.41,12.41,0.65%
538,2023/03/27 ,1906,17.7,0.94%
539,2023/03/26 ,1888.29,-26.85,-1.40%
540,2023/03/23 ,1915.14,-18.15,-0.94%
541,2023/03/22 ,1933.29,-15.76,-0.81%
542,2023/03/20 ,1949.06,22.65,1.18%
543,2023/03/19 ,1926.4,-6.9,-0.36%
544,2023/03/16 ,1933.31,-5.32,-0.27%
545,2023/03/15 ,1938.62,-14.44,-0.74%
546,2023/03/14 ,1953.06,1.85,0.09%
547,2023/03/13 ,1951.21,-24.68,-1.25%
548,2023/03/12 ,1975.89,-26.8,-1.34%
549,2023/03/09 ,2002.7,50.04,2.56%
550,2023/03/07 ,1952.66,14.41,0.74%
551,2023/03/05 ,1938.25,-30.77,-1.56%
552,2023/03/02 ,1969.02,-26.47,-1.33%
553,2023/03/01 ,1995.49,-24.44,-1.21%
554,2023/02/28 ,2019.93,-3.61,-0.18%
555,2023/02/27 ,2023.54,-3.65,-0.18%
556,2023/02/26 ,2027.19,4.55,0.22%
557,2023/02/23 ,2022.64,-57.74,-2.78%
558,2023/02/22 ,2080.38,33.57,1.64%
559,2023/02/20 ,2046.81,-23.6,-1.14%
560,2023/02/16 ,2070.41,-21.15,-1.01%
561,2023/02/15 ,2091.56,-13.9,-0.66%
562,2023/02/14 ,2105.46,-16.4,-0.77%
563,2023/02/12 ,2121.86,-60.77,-2.78%
564,2023/02/09 ,2182.63,12.45,0.57%
565,2023/02/08 ,2170.18,-7.16,-0.33%
566,2023/02/07 ,2177.34,76.64,3.65%
567,2023/02/06 ,2100.7,4.62,0.22%
568,2023/02/05 ,2096.08,1.54,0.07%
569,2023/02/02 ,2094.54,-22.12,-1.04%
570,2023/02/01 ,2116.65,4.97,0.24%
571,2023/01/31 ,2111.68,-15.7,-0.74%
572,2023/01/30 ,2127.37,-41.16,-1.90%
573,2023/01/29 ,2168.53,-14.68,-0.67%
574,2023/01/26 ,2183.21,-0.41,-0.02%
575,2023/01/25 ,2183.62,10.37,0.48%
576,2023/01/24 ,2173.25,8.15,0.38%
577,2023/01/23 ,2165.1,-13.71,-0.63%
578,2023/01/19 ,2178.81,5.71,0.26%
579,2023/01/18 ,2173.1,-9.01,-0.41%
580,2023/01/17 ,2182.11,32.72,1.52%
581,2023/01/12 ,2149.39,-41.04,-1.87%
582,2023/01/10 ,2190.42,-21.34,-0.96%
583,2023/01/09 ,2211.76,47.15,2.18%
584,2023/01/08 ,2164.61,20.68,0.96%
585,2023/01/05 ,2143.93,18.09,0.85%
586,2023/01/04 ,2125.84,64.78,3.14%
587,2023/01/03 ,2061.06,-3.03,-0.15%
588,2023/01/02 ,2063.83,17.56,0.86%
589,2023/01/01 ,2046.26,17.24,0.85%
590,2022/12/29 ,2029.03,56.88,2.88%
591,2022/12/28 ,1972.15,-11.81,-0.60%
592,2022/12/27 ,1983.95,59.87,3.11%
593,2022/12/26 ,1924.09,56.88,3.05%
594,2022/12/22 ,1867.21,-0.01,0.00%
595,2022/12/21 ,1867.22,-5.89,-0.31%
596,2022/12/20 ,1873.11,14.22,0.76%
597,2022/12/19 ,1858.89,3.83,0.21%
598,2022/12/18 ,1855.06,-27.54,-1.46%
599,2022/12/15 ,1882.6,-14.48,-0.76%
600,2022/12/14 ,1897.08,-2.62,-0.14%
601,2022/12/13 ,1899.7,-2.57,-0.13%
602,2022/12/12 ,1902.27,16.96,0.90%
603,2022/12/11 ,1885.31,-31.97,-1.67%
604,2022/12/07 ,1917.28,-16.61,-0.86%
605,2022/12/06 ,1933.88,-4.87,-0.25%
606,2022/12/05 ,1938.76,-24.46,-1.25%
607,2022/12/04 ,1963.22,2.16,0.11%
608,2022/12/01 ,1961.06,11.22,0.58%
609,2022/11/30 ,1949.85,-3.51,-0.18%
610,2022/11/29 ,1953.35,2.99,0.15%
611,2022/11/28 ,1950.37,-15.61,-0.79%
612,2022/11/27 ,1965.98,32.43,1.68%
613,2022/11/24 ,1933.55,11.56,0.60%
614,2022/11/23 ,1921.99,-7.72,-0.40%
615,2022/11/22 ,1929.7,-7.13,-0.37%
616,2022/11/17 ,1936.83,25.57,1.34%
617,2022/11/16 ,1911.26,13.4,0.71%
618,2022/11/15 ,1897.86,-6.59,-0.35%
619,2022/11/14 ,1904.45,21.29,1.13%
620,2022/11/13 ,1883.16,-10.54,-0.56%
621,2022/11/10 ,1893.7,-23.52,-1.23%
622,2022/11/09 ,1917.22,-39.15,-2.00%
623,2022/11/08 ,1956.36,-2.57,-0.13%
624,2022/11/07 ,1958.94,-6.43,-0.33%
625,2022/11/06 ,1965.36,43.2,2.25%
626,2022/11/03 ,1922.16,-16.14,-0.83%
627,2022/11/02 ,1938.3,7.32,0.38%
628,2022/11/01 ,1930.97,56.1,2.99%
629,2022/10/31 ,1874.87,16.39,0.88%
630,2022/10/23 ,1858.49,14.35,0.78%
631,2022/10/20 ,1844.14,-1.38,-0.07%
632,2022/10/19 ,1845.51,-12.81,-0.69%
633,2022/10/17 ,1858.33,-2.61,-0.14%
634,2022/10/16 ,1860.94,-9.69,-0.52%
635,2022/10/13 ,1870.63,4.15,0.22%
636,2022/10/12 ,1866.48,11.32,0.61%
637,2022/10/11 ,1855.16,-16.06,-0.86%
638,2022/10/10 ,1871.22,-27.16,-1.43%
639,2022/10/09 ,1898.38,44.62,2.41%
640,2022/09/29 ,1853.76,16.29,0.89%
641,2022/09/28 ,1837.46,6.41,0.35%
642,2022/09/27 ,1831.05,15.92,0.88%
643,2022/09/25 ,1815.13,-23.83,-1.30%
644,2022/09/22 ,1838.96,-9.83,-0.53%
645,2022/09/21 ,1848.8,11.19,0.61%
646,2022/09/20 ,1837.6,-38.81,-2.07%
647,2022/09/18 ,1876.41,-33.97,-1.78%
648,2022/09/16 ,1910.38,-14.1,-0.73%
649,2022/09/15 ,1924.48,-57,-2.88%
650,2022/09/14 ,1981.48,47.44,2.45%
651,2022/09/13 ,1934.05,21.3,1.11%
652,2022/09/12 ,1912.74,-13.54,-0.70%
653,2022/09/11 ,1926.28,-11.46,-0.59%
654,2022/09/08 ,1937.74,-2.13,-0.11%
655,2022/09/07 ,1939.88,-11.97,-0.61%
656,2022/09/06 ,1951.79,-21.22,-1.08%
657,2022/09/05 ,1973.01,-4.29,-0.22%
658,2022/09/04 ,1977.3,6.68,0.34%
659,2022/09/02 ,1970.62,-1.67,-0.08%
660,2022/08/31 ,1973.38,-21.97,-1.10%
661,2022/08/30 ,1995.21,2.19,0.11%
662,2022/08/29 ,1993.02,3.76,0.19%
663,2022/08/28 ,1989.26,-33.36,-1.65%
664,2022/08/26 ,2022.62,-16.93,-0.83%
665,2022/08/25 ,2039.54,-18.3,-0.89%
666,2022/08/24 ,2057.85,2.87,0.14%
667,2022/08/23 ,2054.95,1.81,0.09%
668,2022/08/22 ,2053.16,-7.38,-0.36%
669,2022/08/21 ,2060.55,-7.72,-0.37%
670,2022/08/18 ,2068.26,27.56,1.35%
671,2022/08/17 ,2040.7,-0.36,-0.02%
672,2022/08/16 ,2041.06,-24.83,-1.20%
673,2022/08/15 ,2065.89,55.88,2.78%
674,2022/08/14 ,2010.01,-27.92,-1.37%
675,2022/08/11 ,2037.92,-18.96,-0.92%
676,2022/08/10 ,2057.68,-5.11,-0.25%
677,2022/08/09 ,2060.73,-45.42,-2.16%
678,2022/08/08 ,2106.15,-17.68,-0.83%
679,2022/08/07 ,2123.82,10.27,0.49%
680,2022/08/05 ,2113.55,-34.61,-1.61%
681,2022/08/04 ,2148.16,-38.61,-1.77%
682,2022/08/03 ,2186.76,-6.72,-0.31%
683,2022/08/02 ,2193.48,-2.76,-0.13%
684,2022/08/01 ,2196.25,1.15,0.05%
685,2022/07/31 ,2195.1,54.58,2.55%
686,2022/07/29 ,2140.52,13.05,0.61%
687,2022/07/28 ,2127.47,15.49,0.73%
688,2022/07/27 ,2111.99,23.83,1.14%
689,2022/07/26 ,2088.16,-44.8,-2.10%
690,2022/07/25 ,2132.96,54.45,2.62%
691,2022/07/24 ,2078.51,61.05,3.03%
692,2022/07/22 ,2017.46,-27.26,-1.33%
693,2022/07/21 ,2044.72,-5.87,-0.29%
694,2022/07/20 ,2050.59,4.89,0.24%
695,2022/07/19 ,2045.69,16.27,0.80%
696,2022/07/18 ,2029.43,18.03,0.90%
697,2022/07/17 ,2011.39,1.93,0.10%
698,2022/07/15 ,2009.46,7.93,0.40%
699,2022/07/14 ,2001.53,14.71,0.74%
700,2022/07/13 ,1986.82,59.54,3.09%
701,2022/07/12 ,1927.28,11.68,0.61%
702,2022/07/11 ,1915.61,-77.01,-3.86%
703,2022/07/08 ,1992.62,-34.7,-1.71%
704,2022/07/07 ,2027.32,-16.6,-0.81%
705,2022/07/06 ,2043.92,13.33,0.66%
706,2022/07/05 ,2030.59,-46.08,-2.22%
707,2022/07/04 ,2076.67,-9.75,-0.47%
708,2022/07/03 ,2086.38,57.61,2.84%
709,2022/07/01 ,2028.77,-8.87,-0.44%
710,2022/06/30 ,2037.64,74.93,3.82%
711,2022/06/29 ,1962.71,41.39,2.15%
712,2022/06/28 ,1921.31,-11.82,-0.61%
713,2022/06/27 ,1933.13,-23.85,-1.22%
714,2022/06/26 ,1956.98,94.92,5.10%
715,2022/06/24 ,1862.06,13.78,0.75%
716,2022/06/23 ,1848.28,-45.25,-2.39%
717,2022/06/22 ,1893.53,-31.21,-1.62%
718,2022/06/21 ,1922.3,37.49,1.99%
719,2022/06/20 ,1884.81,-49.31,-2.55%
720,2022/06/19 ,1934.11,-37.27,-1.89%
721,2022/06/17 ,1971.38,-7.56,-0.38%
722,2022/06/16 ,1978.94,12.57,0.64%
723,2022/06/15 ,1966.37,-29.89,-1.50%
724,2022/06/14 ,1996.26,-36.07,-1.78%
725,2022/06/13 ,2032.34,-15.82,-0.77%
726,2022/06/10 ,2048.16,-14.64,-0.71%
727,2022/06/09 ,2062.86,-17.58,-0.85%
728,2022/06/08 ,2080.44,60.22,2.98%
729,2022/06/07 ,2020.23,-45.59,-2.21%
730,2022/06/06 ,2065.78,-12.92,-0.62%
731,2022/06/03 ,2078.7,-33.76,-1.60%
732,2022/06/02 ,2112.47,-18.26,-0.86%
733,2022/06/01 ,2130.71,-7.21,-0.34%
734,2022/05/31 ,2137.92,-35.53,-1.63%
735,2022/05/30 ,2178.69,-45.09,-2.03%
736,2022/05/27 ,2223.78,-15.82,-0.71%
737,2022/05/26 ,2239.6,8.03,0.36%
738,2022/05/25 ,2231.57,14.37,0.65%
739,2022/05/24 ,2217.19,16.32,0.74%
740,2022/05/23 ,2200.88,-34.21,-1.53%
741,2022/05/20 ,2235.09,-15.82,-0.70%
742,2022/05/19 ,2250.91,-23.51,-1.03%
743,2022/05/18 ,2274.42,8.9,0.39%
744,2022/05/17 ,2265.52,-84.9,-3.61%
745,2022/05/12 ,2350.42,-18.64,-0.79%
746,2022/05/11 ,2369.06,56.06,2.42%
747,2022/05/10 ,2313,44.16,1.95%
748,2022/05/09 ,2268.84,12.27,0.54%
749,2022/05/08 ,2256.57,17.95,0.80%
750,2022/05/05 ,2238.62,-37.06,-1.63%
751,2022/05/04 ,2275.68,-31.76,-1.38%
752,2022/05/02 ,2307.44,-48.73,-2.07%
753,2022/04/28 ,2356.2,-19.97,-0.84%
754,2022/04/27 ,2376.17,5.17,0.22%
755,2022/04/26 ,2370.99,-15.02,-0.63%
756,2022/04/25 ,2386.01,-34.95,-1.44%
757,2022/04/24 ,2420.91,95.46,4.11%
758,2022/04/21 ,2325.45,4.94,0.21%
759,2022/04/20 ,2320.51,-36.73,-1.56%
760,2022/04/19 ,2357.24,13.37,0.57%
761,2022/04/18 ,2343.87,-41.77,-1.75%
762,2022/04/17 ,2385.64,-29.6,-1.23%
763,2022/04/13 ,2415.24,30.24,1.27%
764,2022/04/12 ,2385.02,-34.78,-1.44%
765,2022/04/11 ,2419.71,-44.64,-1.81%
766,2022/04/07 ,2464.31,35.66,1.47%
767,2022/04/06 ,2428.75,-23.32,-0.95%
768,2022/04/05 ,2452.06,-46.46,-1.86%
769,2022/04/04 ,2497.47,-15.94,-0.63%
770,2022/04/03 ,2513.41,-30.89,-1.21%
771,2022/03/31 ,2544.3,-23.95,-0.93%
772,2022/03/30 ,2568.25,40.68,1.61%
773,2022/03/29 ,2527.58,-14.26,-0.56%
774,2022/03/28 ,2541.83,-30.43,-1.18%
775,2022/03/27 ,2572.23,-41.43,-1.59%
776,2022/03/24 ,2613.67,-16.69,-0.63%
777,2022/03/23 ,2630.36,-20.34,-0.77%
778,2022/03/22 ,2650.7,16.04,0.61%
779,2022/03/21 ,2634.57,17.99,0.69%
780,2022/03/20 ,2616.58,-14.67,-0.56%
781,2022/03/16 ,2631.32,-19.65,-0.74%
782,2022/03/15 ,2650.97,-17.15,-0.64%
783,2022/03/14 ,2668.11,0.15,0.01%
784,2022/03/13 ,2667.97,101.07,3.94%
785,2022/03/10 ,2566.9,52.31,2.08%
786,2022/03/09 ,2514.58,-30.36,-1.19%
787,2022/03/07 ,2544.93,1.54,0.06%
788,2022/03/06 ,2543.39,-3.66,-0.14%
789,2022/03/02 ,2547.04,-63.54,-2.43%
790,2022/02/28 ,2610.58,-43.12,-1.62%
791,2022/02/27 ,2653.7,-7.73,-0.29%
792,2022/02/24 ,2661.44,-58.99,-2.17%
793,2022/02/23 ,2720.43,-15.5,-0.57%
794,2022/02/22 ,2735.93,17.42,0.64%
795,2022/02/21 ,2718.51,25.41,0.94%
796,2022/02/20 ,2693.1,-39.4,-1.44%
797,2022/02/17 ,2732.51,-1.94,-0.07%
798,2022/02/16 ,2734.44,-19.84,-0.72%
799,2022/02/15 ,2754.28,53.3,1.97%
800,2022/02/14 ,2700.98,0.08,0.00%
801,2022/02/13 ,2700.89,-100.67,-3.59%
802,2022/02/10 ,2801.56,-11.96,-0.43%
803,2022/02/09 ,2813.47,-22.11,-0.78%
804,2022/02/08 ,2835.58,-16.3,-0.57%
805,2022/02/07 ,2851.88,15.71,0.55%
806,2022/02/06 ,2836.17,-40.57,-1.41%
807,2022/02/03 ,2876.74,-14.6,-0.50%
808,2022/02/01 ,2891.33,19.29,0.67%
809,2022/01/31 ,2872.05,-13.48,-0.47%
810,2022/01/30 ,2885.53,105.55,3.80%
811,2022/01/27 ,2779.98,3.33,0.12%
812,2022/01/26 ,2776.65,-38.42,-1.36%
813,2022/01/25 ,2815.06,-5.59,-0.20%
814,2022/01/24 ,2820.41,-100.1,-3.43%
815,2022/01/23 ,2920.51,-10.83,-0.37%
816,2022/01/20 ,2931.26,32.96,1.14%
817,2022/01/19 ,2898.31,-38.35,-1.31%
818,2022/01/18 ,2936.66,-10.78,-0.37%
819,2022/01/17 ,2947.38,20.64,0.71%
820,2022/01/16 ,2926.74,69,2.41%
821,2022/01/13 ,2857.75,54.12,1.93%
822,2022/01/12 ,2803.62,-30.51,-1.08%
823,2022/01/11 ,2834.13,49.19,1.77%
824,2022/01/10 ,2784.95,19.43,0.70%
825,2022/01/09 ,2765.47,73.01,2.71%
826,2022/01/06 ,2692.47,43.29,1.63%
827,2022/01/05 ,2649.2,-30.75,-1.15%
828,2022/01/04 ,2679.95,63.01,2.41%
829,2022/01/03 ,2616.94,32.03,1.24%
830,2022/01/02 ,2584.91,60.41,2.39%
831,2021/12/29 ,2524.5,5.51,0.22%
832,2021/12/28 ,2518.99,-2.66,-0.11%
833,2021/12/27 ,2521.65,-69.77,-2.69%
834,2021/12/26 ,2591.42,71.2,2.82%
835,2021/12/23 ,2520.23,12.53,0.50%
836,2021/12/22 ,2507.7,92.16,3.82%
837,2021/12/21 ,2415.55,56.73,2.41%
838,2021/12/20 ,2358.82,-17.93,-0.75%
839,2021/12/16 ,2376.75,-37.87,-1.57%
840,2021/12/15 ,2414.62,-4.23,-0.17%
841,2021/12/14 ,2418.85,137.18,6.01%
842,2021/12/13 ,2281.67,-79.57,-3.37%
843,2021/12/12 ,2361.27,-88.7,-3.62%
844,2021/12/09 ,2449.97,-5.84,-0.24%
845,2021/12/08 ,2455.82,-53.09,-2.12%
846,2021/12/07 ,2508.91,-37.18,-1.46%
847,2021/12/06 ,2546.09,32.22,1.28%
848,2021/12/05 ,2513.87,-72.32,-2.80%
849,2021/12/02 ,2584.61,-49.04,-1.86%
850,2021/12/01 ,2633.66,5.28,0.20%
851,2021/11/30 ,2628.37,-1.64,-0.06%
852,2021/11/29 ,2630.01,-21.48,-0.81%
853,2021/11/28 ,2651.49,-80.29,-2.94%
854,2021/11/25 ,2731.78,-3.22,-0.12%
855,2021/11/24 ,2735.01,1.89,0.07%
856,2021/11/23 ,2733.14,-32.29,-1.17%
857,2021/11/22 ,2765.44,7.9,0.29%
858,2021/11/21 ,2757.53,-11.6,-0.42%
859,2021/11/18 ,2769.13,-32.39,-1.16%
860,2021/11/17 ,2801.52,16.95,0.61%
861,2021/11/16 ,2784.58,69.22,2.55%
862,2021/11/15 ,2715.35,26.44,0.98%
863,2021/11/14 ,2688.92,-1.38,-0.05%
864,2021/11/11 ,2690.29,-59.57,-2.17%
865,2021/11/09 ,2749.86,-79.79,-2.82%
866,2021/11/08 ,2829.65,-19.2,-0.67%
867,2021/11/03 ,2848.84,5.22,0.18%
868,2021/11/02 ,2843.62,23.76,0.84%
869,2021/11/01 ,2819.87,-17.75,-0.63%
870,2021/10/31 ,2837.62,55.5,1.99%
871,2021/10/28 ,2782.17,13.04,0.47%
872,2021/10/27 ,2769.13,18.06,0.66%
873,2021/10/26 ,2751.07,78.82,2.95%
874,2021/10/25 ,2672.25,87.63,3.39%
875,2021/10/24 ,2584.53,27.51,1.08%
876,2021/10/21 ,2556.96,-14.7,-0.57%
877,2021/10/20 ,2571.66,60.56,2.41%
878,2021/10/19 ,2510.73,-77.33,-2.99%
879,2021/10/18 ,2587.45,-69.51,-2.62%
880,2021/10/17 ,2656.97,17.59,0.67%
881,2021/10/11 ,2639.38,-23.19,-0.87%
882,2021/10/10 ,2662.58,-18.53,-0.69%
883,2021/10/06 ,2681.11,68.47,2.62%
884,2021/10/05 ,2612.65,41.84,1.63%
885,2021/10/04 ,2570.81,-6.68,-0.26%
886,2021/10/03 ,2577.5,-55.93,-2.12%
887,2021/09/30 ,2633.42,-32.51,-1.22%
888,2021/09/29 ,2665.94,50.58,1.93%
889,2021/09/28 ,2615.4,-70.01,-2.61%
890,2021/09/27 ,2685.42,-73.05,-2.65%
891,2021/09/26 ,2758.48,-61.27,-2.17%
892,2021/09/23 ,2819.66,2.7,0.10%
893,2021/09/22 ,2816.95,104.88,3.87%
894,2021/09/21 ,2712.07,13.83,0.51%
895,2021/09/20 ,2698.25,-114.02,-4.05%
896,2021/09/16 ,2812.39,-76.65,-2.65%
897,2021/09/15 ,2889.03,-40.26,-1.37%
898,2021/09/14 ,2929.29,-18.54,-0.63%
899,2021/09/13 ,2947.7,0.27,0.01%
900,2021/09/12 ,2947.42,71.43,2.48%
901,2021/09/09 ,2875.98,-0.62,-0.02%
902,2021/09/08 ,2876.59,-60.02,-2.04%
903,2021/09/07 ,2936.61,-44.18,-1.48%
904,2021/09/06 ,2980.79,161.94,5.74%
905,2021/09/05 ,2818.73,-108.26,-3.70%
906,2021/09/02 ,2926.89,-50.13,-1.68%
907,2021/09/01 ,2976.98,1.14,0.04%
908,2021/08/31 ,2975.84,-69.05,-2.27%
909,2021/08/29 ,3044.87,-49.18,-1.59%
910,2021/08/26 ,3094.05,17.6,0.57%
911,2021/08/25 ,3076.45,-48.42,-1.55%
912,2021/08/24 ,3124.87,-56.03,-1.76%
913,2021/08/19 ,3180.79,-18.24,-0.57%
914,2021/08/18 ,3198.6,38.28,1.21%
915,2021/08/17 ,3160.32,0.23,0.01%
916,2021/08/16 ,3160.06,5.72,0.18%
917,2021/08/15 ,3154.03,-24.88,-0.78%
918,2021/08/12 ,3179,16.41,0.52%
919,2021/08/11 ,3162.6,0.94,0.03%
920,2021/08/10 ,3161.45,51.86,1.67%
921,2021/08/09 ,3109.67,1.54,0.05%
922,2021/08/08 ,3108.13,0.66,0.02%
923,2021/08/05 ,3107.45,-16,-0.51%
924,2021/08/04 ,3123.15,12.05,0.39%
925,2021/08/03 ,3111.09,26.02,0.84%
926,2021/08/02 ,3085.07,4.06,0.13%
927,2021/08/01 ,3081.06,1.25,0.04%
928,2021/07/29 ,3079.83,-15.11,-0.49%
929,2021/07/28 ,3094.95,15.3,0.50%
930,2021/07/27 ,3079.67,29.24,0.96%
931,2021/07/26 ,3050.43,-8.24,-0.27%
932,2021/07/25 ,3058.64,54.31,1.81%
933,2021/07/22 ,3004.32,18.75,0.63%
934,2021/07/20 ,2985.57,-9.01,-0.30%
935,2021/07/19 ,2994.58,13.97,0.47%
936,2021/07/18 ,2980.61,97.21,3.37%
937,2021/07/15 ,2883.38,11.33,0.39%
938,2021/07/14 ,2872.05,1.01,0.04%
939,2021/07/13 ,2871.04,16.34,0.57%
940,2021/07/12 ,2854.77,-45.06,-1.55%
941,2021/07/11 ,2899.82,74.71,2.64%
942,2021/07/08 ,2824.9,23.76,0.85%
943,2021/07/07 ,2801.13,-16.97,-0.60%
944,2021/07/06 ,2818.11,-5.24,-0.19%
945,2021/07/05 ,2822.74,-11.78,-0.42%
946,2021/07/04 ,2834.52,-8.48,-0.30%
947,2021/07/01 ,2843,19.12,0.68%
948,2021/06/30 ,2823.88,-4.13,-0.15%
949,2021/06/29 ,2828.01,-47.49,-1.65%
950,2021/06/28 ,2875.5,5.11,0.18%
951,2021/06/27 ,2870.38,27.38,0.96%
952,2021/06/24 ,2843,-16.96,-0.59%
953,2021/06/23 ,2862.19,-51.65,-1.77%
954,2021/06/22 ,2913.85,79.44,2.80%
955,2021/06/21 ,2834.41,-71.06,-2.45%
956,2021/06/20 ,2905.15,-63.28,-2.13%
957,2021/06/17 ,2968.43,-1.29,-0.04%
958,2021/06/16 ,2969.7,-52.41,-1.73%
959,2021/06/15 ,3022.11,-3.72,-0.12%
960,2021/06/14 ,3025.83,42.72,1.43%
961,2021/06/13 ,2983.11,38.32,1.30%
962,2021/06/10 ,2944.78,-1.8,-0.06%
963,2021/06/09 ,2946.58,-13.56,-0.46%
964,2021/06/08 ,2960.14,53.44,1.84%
965,2021/06/07 ,2906.7,-0.21,-0.01%
966,2021/06/06 ,2906.89,50.13,1.75%
967,2021/06/03 ,2856.68,29.55,1.05%
968,2021/06/02 ,2827.13,55.76,2.01%
969,2021/06/01 ,2771.15,-11.68,-0.42%
970,2021/05/31 ,2782.69,-45.25,-1.60%
971,2021/05/30 ,2827.93,12.54,0.45%
972,2021/05/27 ,2815.4,-1.2,-0.04%
973,2021/05/25 ,2816.57,-6.5,-0.23%
974,2021/05/24 ,2823.07,3.07,0.11%
975,2021/05/23 ,2820,32.81,1.18%
976,2021/05/20 ,2787.19,6.37,0.23%
977,2021/05/19 ,2780.81,-13.09,-0.47%
978,2021/05/18 ,2793.9,34.68,1.26%
979,2021/05/17 ,2759.22,20.71,0.76%
980,2021/05/16 ,2738.3,54.21,2.02%
981,2021/05/13 ,2684.01,10.13,0.38%
982,2021/05/12 ,2673.88,0.56,0.02%
983,2021/05/11 ,2673.32,27.47,1.04%
984,2021/05/10 ,2645.85,27.41,1.05%
985,2021/05/09 ,2618.57,-18.56,-0.70%
986,2021/05/06 ,2637.13,-12.47,-0.47%
987,2021/05/05 ,2649.6,-5.09,-0.19%
988,2021/05/04 ,2654.69,1.94,0.07%
989,2021/05/03 ,2652.76,-12.35,-0.46%
990,2021/05/02 ,2665.11,54,2.07%
991,2021/04/29 ,2611.11,25.82,1.00%
992,2021/04/28 ,2585.28,-13.79,-0.53%
993,2021/04/27 ,2599.08,92.46,3.69%
994,2021/04/26 ,2506.62,-65.58,-2.55%
995,2021/04/25 ,2572.22,-75.79,-2.86%
996,2021/04/22 ,2648.01,15.8,0.60%
997,2021/04/21 ,2632.21,-32.41,-1.22%
998,2021/04/20 ,2664.62,2.68,0.10%
999,2021/04/19 ,2661.94,-37.58,-1.39%
1000,2021/04/18 ,2699.51,-35.89,-1.31%
